tc,q,pl,pf,pk,lntc,lnq,lnpl,lnpf,lnpk,lntc_q_pf,lnpl_pf,lnpk_pf
0.082,2,2.1,17.9,183,-2.501036,0.6931472,0.7419373,2.884801,5.209486,-6.078984,-2.142863,2.324685
0.661,3,2.1,35.1,174,-0.4140014,1.098612,0.7419373,3.558201,5.159055,-5.070815,-2.816264,1.600854
0.99,4,2.1,35.1,171,-0.0100503,1.386294,0.7419373,3.558201,5.141664,-4.954546,-2.816264,1.583462
0.315,4,1.8,32.2,166,-1.155183,1.386294,0.5877866,3.471967,5.111988,-6.013443,-2.88418,1.640021
0.197,5,2.1,28.6,233,-1.624552,1.609438,0.7419373,3.353407,5.451038,-6.587396,-2.611469,2.097632
0.098,9,2.1,28.6,195,-2.322788,2.197225,0.7419373,3.353407,5.273,-7.873419,-2.611469,1.919593
0.949,11,2,35.5,206,-0.0523465,2.397895,0.6931472,3.569533,5.327876,-6.019774,-2.876385,1.758343
0.675,13,2.1,35.1,150,-0.3930426,2.564949,0.7419373,3.558201,5.010635,-6.516193,-2.816264,1.452434
0.525,13,2.2,29.1,155,-0.6443571,2.564949,0.7884574,3.370738,5.043425,-6.580045,-2.582281,1.672687
0.501,22,1.7,15,188,-0.6911492,3.091043,0.5306283,2.70805,5.236442,-6.490242,-2.177422,2.528392
1.194,25,2.1,17.9,170,0.177309,3.218876,0.7419373,2.884801,5.135798,-5.926368,-2.142863,2.250998
0.67,25,1.7,39.7,167,-0.4004775,3.218876,0.5306283,3.681351,5.117994,-7.300704,-3.150723,1.436643
0.349,35,1.8,22.6,213,-1.052683,3.555348,0.5877866,3.11795,5.361292,-7.725982,-2.530163,2.243342
0.423,39,2.3,23.6,164,-0.8603831,3.663562,0.8329091,3.161247,5.099866,-7.685192,-2.328338,1.93862
0.501,43,1.8,42.8,170,-0.6911492,3.7612,0.5877866,3.756538,5.135798,-8.208887,-3.168751,1.37926
0.55,63,1.8,10.3,161,-0.597837,4.143135,0.5877866,2.332144,5.081404,-7.073115,-1.744357,2.74926
0.795,68,2,35.5,210,-0.2294131,4.219508,0.6931472,3.569533,5.347107,-8.018454,-2.876385,1.777575
0.664,81,2.3,28.5,158,-0.4094732,4.394449,0.8329091,3.349904,5.062595,-8.153827,-2.516995,1.712691
0.705,84,2.2,29.1,156,-0.3495575,4.430817,0.7884574,3.370738,5.049856,-8.151113,-2.582281,1.679118
0.903,73,1.8,42.8,176,-0.1020327,4.29046,0.5877866,3.756538,5.170484,-8.149031,-3.168751,1.413946
1.504,99,2.2,36.2,170,0.4081282,4.59512,0.7884574,3.589059,5.135798,-7.776051,-2.800602,1.546739
1.615,101,1.7,33.4,192,0.479335,4.61512,0.5306283,3.508556,5.257495,-7.644341,-2.977928,1.74894
1.127,119,1.9,22.5,164,0.1195592,4.779123,0.6418539,3.113515,5.099866,-7.773079,-2.471662,1.986351
0.718,120,1.8,21.3,175,-0.3312857,4.787492,0.5877866,3.058707,5.164786,-8.177485,-2.47092,2.106079
2.414,122,2.1,17.9,180,0.8812851,4.804021,0.7419373,2.884801,5.192957,-6.807537,-2.142863,2.308156
1.13,130,1.8,38.9,176,0.1222176,4.867535,0.5877866,3.660994,5.170484,-8.406311,-3.073208,1.50949
0.992,138,1.8,20.2,202,-0.0080322,4.927254,0.5877866,3.005683,5.308268,-7.940969,-2.417896,2.302585
1.554,149,1.9,22.5,227,0.4408323,5.003946,0.6418539,3.113515,5.42495,-7.67663,-2.471662,2.311435
1.225,196,1.9,29.1,186,0.2029409,5.278115,0.6418539,3.370738,5.225747,-8.445912,-2.728884,1.855008
1.565,197,2.2,29.1,183,0.4478859,5.283204,0.7884574,3.370738,5.209486,-8.206056,-2.582281,1.838748
1.936,209,1.9,22.5,169,0.660624,5.342334,0.6418539,3.113515,5.129899,-7.795226,-2.471662,2.016383
3.154,214,1.5,27.5,168,1.148672,5.365976,0.4054651,3.314186,5.123964,-7.53149,-2.908721,1.809778
2.599,220,1.9,22.5,164,0.9551268,5.393628,0.6418539,3.113515,5.099866,-7.552016,-2.471662,1.986351
3.298,234,2.2,36.2,164,1.193316,5.455321,0.7884574,3.589059,5.099866,-7.851064,-2.800602,1.510807
2.441,235,2.1,24.4,170,0.8924078,5.459586,0.7419373,3.194583,5.135798,-7.761761,-2.452646,1.941215
2.031,253,1.9,22.5,158,0.7085282,5.53339,0.6418539,3.113515,5.062595,-7.938377,-2.471662,1.94908
4.666,279,2.1,35.1,177,1.540302,5.631212,0.7419373,3.558201,5.17615,-7.649111,-2.816264,1.617949
1.834,290,1.7,33.4,195,0.6064994,5.669881,0.5306283,3.508556,5.273,-8.571938,-2.977928,1.764444
2.072,290,1.8,20.2,176,0.7285143,5.669881,0.5877866,3.005683,5.170484,-7.947049,-2.417896,2.164801
2.039,295,1.8,21.3,188,0.7124595,5.686975,0.5877866,3.058707,5.236442,-8.033223,-2.47092,2.177735
3.398,299,1.7,26.9,187,1.223187,5.700444,0.5306283,3.292126,5.231109,-7.769383,-2.761498,1.938982
3.083,324,2.1,35.1,152,1.125903,5.780744,0.7419373,3.558201,5.02388,-8.213041,-2.816264,1.465679
2.344,333,2.2,29.1,157,0.8518589,5.808143,0.7884574,3.370738,5.056246,-8.327022,-2.582281,1.685508
2.382,338,1.9,24.6,163,0.8679405,5.823046,0.6418539,3.202746,5.09375,-8.157851,-2.560893,1.891004
2.657,353,2.2,29.1,143,0.9771977,5.866468,0.7884574,3.370738,4.962845,-8.260009,-2.582281,1.592107
1.705,353,2.1,10.7,167,0.5335652,5.866468,0.7419373,2.370244,5.117994,-7.703146,-1.628307,2.74775
3.23,416,1.5,26.2,217,1.172482,6.030685,0.4054651,3.265759,5.379897,-8.123962,-2.860294,2.114138
5.049,420,1.5,27.5,144,1.61919,6.040255,0.4054651,3.314186,4.969813,-7.73525,-2.908721,1.655627
3.814,456,2.1,30,178,1.338678,6.122493,0.7419373,3.401197,5.181784,-8.185012,-2.65926,1.780586
4.58,484,1.8,42.8,176,1.521699,6.182085,0.5877866,3.756538,5.170484,-8.416924,-3.168751,1.413946
4.358,516,2.3,23.6,167,1.472013,6.246107,0.8329091,3.161247,5.117994,-7.93534,-2.328338,1.956747
4.714,550,2.1,35.1,158,1.550537,6.309918,0.7419373,3.558201,5.062595,-8.317583,-2.816264,1.504394
4.357,563,2.3,31.9,162,1.471784,6.33328,0.8329091,3.462606,5.087596,-8.324101,-2.629697,1.62499
3.919,566,2.3,33.5,198,1.365837,6.338594,0.8329091,3.511545,5.288267,-8.484303,-2.678636,1.776722
3.442,592,1.9,22.5,164,1.236053,6.383507,0.6418539,3.113515,5.099866,-8.260969,-2.471662,1.986351
4.898,671,2.1,35.1,164,1.588827,6.508769,0.7419373,3.558201,5.099866,-8.478144,-2.816264,1.541665
3.584,696,1.8,10.3,161,1.276479,6.54535,0.5877866,2.332144,5.081404,-7.601014,-1.744357,2.74926
5.535,719,1.7,26.9,174,1.711092,6.577861,0.5306283,3.292126,5.159055,-8.158895,-2.761498,1.866929
4.406,742,2,20.7,157,1.482967,6.609349,0.6931472,3.030134,5.056246,-8.156516,-2.336987,2.026112
4.289,795,2.2,26.5,185,1.456054,6.678342,0.7884574,3.277145,5.220356,-8.499434,-2.488687,1.943211
6.731,800,1.7,26.9,157,1.906724,6.684612,0.5306283,3.292126,5.056246,-8.070014,-2.761498,1.76412
6.895,808,1.7,39.7,203,1.930797,6.694562,0.5306283,3.681351,5.313206,-8.445117,-3.150723,1.631855
5.112,811,2.3,28.5,178,1.631591,6.698268,0.8329091,3.349904,5.181784,-8.416581,-2.516995,1.83188
5.141,855,2,34.3,183,1.637248,6.751101,0.6931472,3.535145,5.209486,-8.648999,-2.841998,1.674341
5.72,860,2.3,33.5,168,1.743969,6.756932,0.8329091,3.511545,5.123964,-8.524509,-2.678636,1.612418
4.691,909,1.5,17.6,196,1.545646,6.812345,0.4054651,2.867899,5.278115,-8.134598,-2.462434,2.410216
6.832,913,1.7,26.9,166,1.921617,6.816736,0.5306283,3.292126,5.111988,-8.187244,-2.761498,1.819861
4.813,924,1.8,10.3,172,1.571321,6.828712,0.5877866,2.332144,5.147494,-7.589535,-1.744357,2.81535
6.754,984,1.7,26.9,158,1.910135,6.891626,0.5306283,3.292126,5.062595,-8.273617,-2.761498,1.770469
5.127,991,2.1,30,174,1.634521,6.898715,0.7419373,3.401197,5.159055,-8.665391,-2.65926,1.757858
6.388,1000,1.6,28.2,225,1.854421,6.907755,0.4700036,3.339322,5.416101,-8.392656,-2.869318,2.076778
4.509,1098,2.1,24.4,168,1.506075,7.001245,0.7419373,3.194583,5.123964,-8.689754,-2.452646,1.929381
7.185,1109,2.1,35.1,177,1.971995,7.011214,0.7419373,3.558201,5.17615,-8.59742,-2.816264,1.617949
6.8,1118,2.3,23.6,161,1.916923,7.019297,0.8329091,3.161247,5.081404,-8.26362,-2.328338,1.920157
7.743,1122,2.2,29.1,162,2.046789,7.022868,0.7884574,3.370738,5.087596,-8.346817,-2.582281,1.716858
7.968,1137,2,20.7,158,2.075433,7.036149,0.6931472,3.030134,5.062595,-7.990849,-2.336987,2.032461
8.858,1156,2.3,33.5,176,2.181321,7.052721,0.8329091,3.511545,5.170484,-8.382946,-2.678636,1.658939
8.588,1166,1.7,26.9,183,2.150366,7.061334,0.5306283,3.292126,5.209486,-8.203094,-2.761498,1.91736
6.449,1170,2.1,35.1,166,1.863925,7.064759,0.7419373,3.558201,5.111988,-8.759035,-2.816264,1.553787
8.488,1215,2.2,29.1,164,2.138653,7.102499,0.7884574,3.370738,5.099866,-8.334584,-2.582281,1.729128
8.877,1279,2,34.3,207,2.183464,7.153834,0.6931472,3.535145,5.332719,-8.505516,-2.841998,1.797574
10.274,1291,2.3,31.9,175,2.329617,7.163172,0.8329091,3.462606,5.164786,-8.296162,-2.629697,1.70218
6.024,1290,1.6,28.2,225,1.795752,7.162397,0.4700036,3.339322,5.416101,-8.705968,-2.869318,2.076778
8.258,1331,2.1,30,178,2.111182,7.193686,0.7419373,3.401197,5.181784,-8.483701,-2.65926,1.780586
13.376,1373,2.2,36.2,157,2.593462,7.224753,0.7884574,3.589059,5.056246,-8.22035,-2.800602,1.467187
10.69,1420,2.2,36.2,138,2.369309,7.258412,0.7884574,3.589059,4.927254,-8.478163,-2.800602,1.338195
8.308,1474,1.9,24.6,163,2.117219,7.295735,0.6418539,3.202746,5.09375,-8.381262,-2.560893,1.891004
6.082,1497,1.8,10.3,168,1.805333,7.311218,0.5877866,2.332144,5.123964,-7.838029,-1.744357,2.79182
9.284,1545,1.8,20.2,158,2.228292,7.342779,0.5877866,3.005683,5.062595,-8.12017,-2.417896,2.056912
10.879,1649,2.3,31.9,177,2.386834,7.407924,0.8329091,3.462606,5.17615,-8.483696,-2.629697,1.713544
8.477,1668,1.8,20.2,170,2.137357,7.419381,0.5877866,3.005683,5.135798,-8.287706,-2.417896,2.130116
6.877,1782,2.1,10.7,183,1.928182,7.485492,0.7419373,2.370244,5.209486,-7.927553,-1.628307,2.839242
15.106,1831,2,35.5,162,2.715092,7.512618,0.6931472,3.569533,5.087596,-8.367058,-2.876385,1.518064
8.031,1833,1.8,10.3,177,2.083309,7.513709,0.5877866,2.332144,5.17615,-7.762544,-1.744357,2.844006
8.082,1838,1.5,17.6,196,2.089639,7.516433,0.4054651,2.867899,5.278115,-8.294693,-2.462434,2.410216
10.866,1787,2.2,26.5,164,2.385639,7.488294,0.7884574,3.277145,5.099866,-8.3798,-2.488687,1.822722
8.596,1918,1.7,12.9,158,2.151297,7.559038,0.5306283,2.557227,5.062595,-7.964969,-2.026599,2.505368
8.673,1930,1.8,22.6,157,2.160215,7.565275,0.5877866,3.11795,5.056246,-8.52301,-2.530163,1.938296
15.437,2028,2.1,24.4,163,2.736767,7.614805,0.7419373,3.194583,5.09375,-8.072621,-2.452646,1.899167
8.211,2057,1.8,10.3,161,2.105475,7.629004,0.5877866,2.332144,5.081404,-7.855673,-1.744357,2.74926
11.982,2084,1.8,21.3,156,2.483406,7.642045,0.5877866,3.058707,5.049856,-8.217346,-2.47092,1.991149
16.674,2226,2,34.3,217,2.813851,7.707962,0.6931472,3.535145,5.379897,-8.429256,-2.841998,1.844752
12.62,2304,2.3,23.6,161,2.535283,7.742402,0.8329091,3.161247,5.081404,-8.368366,-2.328338,1.920157
12.905,2341,2,20.7,183,2.557615,7.758334,0.6931472,3.030134,5.209486,-8.230852,-2.336987,2.179352
11.615,2353,1.7,12.9,167,2.452297,7.763446,0.5306283,2.557227,5.117994,-7.868376,-2.026599,2.560766
9.321,2367,1.8,10.3,161,2.23227,7.769379,0.5877866,2.332144,5.081404,-7.869253,-1.744357,2.74926
12.962,2451,2,20.7,163,2.562022,7.804251,0.6931472,3.030134,5.09375,-8.272363,-2.336987,2.063616
16.932,2457,2.2,36.2,170,2.829205,7.806696,0.7884574,3.589059,5.135798,-8.56655,-2.800602,1.546739
9.648,2507,1.8,10.3,174,2.266751,7.826842,0.5877866,2.332144,5.159055,-7.892236,-1.744357,2.826911
18.35,2530,2.3,33.5,197,2.90963,7.835975,0.8329091,3.511545,5.283204,-8.437891,-2.678636,1.771658
17.333,2576,1.9,22.5,162,2.852612,7.853993,0.6418539,3.113515,5.087596,-8.114896,-2.471662,1.974081
12.015,2607,1.8,10.3,155,2.486156,7.865955,0.5877866,2.332144,5.043425,-7.711944,-1.744357,2.711281
11.32,2870,1.8,10.3,167,2.426571,7.962067,0.5877866,2.332144,5.117994,-7.86764,-1.744357,2.78585
22.337,2993,2.3,33.5,176,3.106245,8.004031,0.8329091,3.511545,5.170484,-8.409332,-2.678636,1.658939
19.035,3202,2.3,23.6,170,2.946279,8.071531,0.8329091,3.161247,5.135798,-8.286499,-2.328338,1.974552
12.205,3286,1.6,17.8,183,2.501846,8.097426,0.4700036,2.879198,5.209486,-8.474779,-2.409195,2.330288
17.078,3312,1.7,28.8,190,2.837791,8.105308,0.5306283,3.360375,5.247024,-8.627892,-2.829747,1.886649
25.528,3498,2.1,30,170,3.239776,8.159946,0.7419373,3.401197,5.135798,-8.321368,-2.65926,1.734601
24.021,3538,2.1,30,176,3.178928,8.171317,0.7419373,3.401197,5.170484,-8.393586,-2.65926,1.769287
32.197,3794,2.1,35.1,159,3.471873,8.241177,0.7419373,3.558201,5.068904,-8.327504,-2.816264,1.510703
26.652,3841,2.3,28.5,157,3.282864,8.253488,0.8329091,3.349904,5.056246,-8.320528,-2.516995,1.706342
20.164,4014,2.1,24.4,161,3.003899,8.297544,0.7419373,3.194583,5.081404,-8.488228,-2.452646,1.886821
14.132,4217,1.5,18.1,172,2.648442,8.346879,0.4054651,2.895912,5.147494,-8.594349,-2.490447,2.251582
21.41,4305,2.1,24.4,203,3.063858,8.367533,0.7419373,3.194583,5.313206,-8.498258,-2.452646,2.118623
23.244,4494,2,20.7,167,3.146047,8.410499,0.6931472,3.030134,5.117994,-8.294585,-2.336987,2.08786
29.845,4764,2.2,29.1,195,3.396017,8.468843,0.7884574,3.370738,5.273,-8.443563,-2.582281,1.902261
32.318,5277,1.9,29.1,161,3.475624,8.571113,0.6418539,3.370738,5.081404,-8.466227,-2.728884,1.710666
21.988,5283,2,20.7,159,3.090497,8.572249,0.6931472,3.030134,5.068904,-8.511887,-2.336987,2.038771
35.229,5668,2.1,24.4,177,3.56187,8.642591,0.7419373,3.194583,5.17615,-8.275305,-2.452646,1.981567
17.467,5681,1.8,10.3,157,2.860313,8.644882,0.5877866,2.332144,5.056246,-8.116713,-1.744357,2.724102
22.828,5819,1.8,18.5,196,3.127988,8.668883,0.5877866,2.917771,5.278115,-8.458666,-2.329984,2.360344
33.154,6000,2.1,24.4,183,3.501163,8.699514,0.7419373,3.194583,5.209486,-8.392935,-2.452646,2.014903
32.228,6119,1.5,26.2,189,3.472836,8.719154,0.4054651,3.265759,5.241747,-8.512078,-2.860294,1.975987
34.168,6136,1.9,22.5,160,3.53129,8.721929,0.6418539,3.113515,5.075174,-8.304154,-2.471662,1.961658
40.594,7193,2.1,28.6,162,3.70362,8.880863,0.7419373,3.353407,5.087596,-8.530649,-2.611469,1.73419
33.354,7886,1.6,17.8,178,3.507178,8.972844,0.4700036,2.879198,5.181784,-8.344865,-2.409195,2.302585
64.542,8419,2.3,31.9,199,4.167316,9.038246,0.8329091,3.462606,5.293305,-8.333536,-2.629697,1.830699
41.238,8642,2.2,26.5,182,3.71936,9.064389,0.7884574,3.277145,5.204007,-8.622173,-2.488687,1.926862
47.993,8787,2.3,33.5,190,3.871055,9.081029,0.8329091,3.511545,5.247024,-8.721519,-2.678636,1.735479
69.878,9484,2.1,24.4,165,4.246751,9.157361,0.7419373,3.194583,5.105946,-8.105193,-2.452646,1.911362
44.894,9956,1.7,28.8,203,3.804304,9.205931,0.5306283,3.360375,5.313206,-8.762002,-2.829747,1.952831
67.12,11477,2.2,26.5,151,4.206482,9.348101,0.7884574,3.277145,5.01728,-8.418763,-2.488687,1.740135
73.05,11796,2.1,28.6,148,4.291144,9.375516,0.7419373,3.353407,4.997212,-8.437778,-2.611469,1.643806
139.422,14359,2.3,33.5,212,4.937505,9.572132,0.8329091,3.511545,5.356586,-8.146173,-2.678636,1.845041
119.939,16719,2.3,23.6,162,4.786983,9.724301,0.8329091,3.161247,5.087596,-8.098564,-2.328338,1.92635
